Имя пользователя,Заголовок,Цена,Ссылка на объявление,Дата объявления,Просмотры,Продавец. Ссылка,Продавец. Год регистрации,Продавец. Активные объявления,Продавец. Проданные объявления,Продавец. Рейтинг,Продавец. Количество отказов,Количество отзывов
Курбан К.,Редуктор w126,2500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/rieduktor-w126-653e3b3400c1edbd3a0b5ce4,2023-10-29 14:00:04,0,https://youla.ru/user/5c58b909821a9976de0644c4/active,нет,2019-02-05 01:13:56,4,5,5,2
Dadash А.,Колёса р 15 е в сборе,2000000,https://youla.ru/mahachkala/avto-moto/shiny-diski/koliosa-r-15-ie-v-sborie-65391e04427ba311c20c4736,2023-10-25 16:54:12,13,https://youla.ru/user/5809e6f4080cbd7e88f6acee/active,нет,2017-01-22 23:18:42,1,0,5,1
Махач К.,Блок управления Нефаз метан задний,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/blok-upravlieniia-niefaz-mietan-zadnii-6533c113b884e1a2c60d7f14,2023-10-21 15:16:19,4,https://youla.ru/user/650ee1dcfe55f76e5d02f50a/active,нет,2023-10-21 15:09:16,6,0,0,0
Меджид Г.,Кованые диски ВСМПО ВЕГА,4499900,https://youla.ru/novyy_kyahulay/avto-moto/shiny-diski/kovanyie-diski-vsmpo-viega-653186826144f899870210a4,2023-10-19 22:41:54,18,https://youla.ru/user/5b770b44821a99595c67cdf2/active,нет,2018-08-17 20:52:23,1,0,0,0
Аслан А.,Вольво фш 12 тягач запчасти,1500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/volvo-fsh-12-653596dc8eb2d3996f02f534,2023-10-23 00:40:44,11,https://youla.ru/user/5d3737bd226e482356792f12/active,нет,2019-07-23 19:37:50,1,0,5,3
Махач К.,Катушка зажигания автобус Нефаз метан,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/katushka-zazhighaniia-avtobus-niefaz-mietan-6533c4d1daa173f14604ee94,2023-10-21 15:32:17,4,https://youla.ru/user/650ee1dcfe55f76e5d02f50a/active,нет,2023-10-21 15:09:16,6,0,0,0
Махач К.,Дозатор автобус Нефаз метан,700000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dozator-avtobus-niefaz-mietan-6533c6c949f15cdf280a50ec,2023-10-21 15:40:41,4,https://youla.ru/user/650ee1dcfe55f76e5d02f50a/active,нет,2023-10-21 15:09:16,6,0,0,0
Нариман Ш.,Фары на лендкрузер 200,6000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/fary-na-liendkruzier-200-65201b8a60b0ef25020288a4,2023-10-06 17:36:58,14,https://youla.ru/user/60dccd9213542658311be77b/active,нет,2021-06-30 23:01:22,1,0,0,0
Саша А.,Диски р 17,2500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/diski-r-27-651f2d3d3db0eb53e0058ee3,2023-10-06 00:40:13,16,https://youla.ru/user/612186fd4a6dde330c19e62a/active,нет,2021-08-22 02:06:37,1,0,0,0
Рустам А.,Ооо,5500000,https://youla.ru/novyy_kyahulay/avto-moto/shiny-diski/ooo-64fe0a5be5c93e16b345fa73,2023-09-10 21:26:35,10,https://youla.ru/user/5a004dc52c593e5de10ae637/active,нет,2017-11-06 14:56:06,1,0,0,0
Ислам К.,Разбор,5000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/razbor-64fdf68187a4c64e10064ed8,2023-09-10 20:01:53,61,https://youla.ru/user/62195e1c81766f763b058bc0/active,нет,2022-02-26 01:54:20,2,2,0,0
Юсуп Магомедов,Диски р14.ваз.оригенал,750000,https://youla.ru/novyy_kyahulay/avto-moto/shiny-diski/diski-r14vazorighienal-64f8aa800657154a9f060994,2023-09-06 19:36:16,58,https://youla.ru/user/61df031c27383c18a00a50bd/active,нет,2022-01-28 18:59:03,3,0,0,0
Али М.,Автозапчасти бмв х6 оригинал б/у,550000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/avtozapchasti-bmv-kh6-orighinal-bu-64e371c40b0205755c0cb200,2023-08-21 17:16:36,27,https://youla.ru/user/5d9ee84bdbdf0fd3023f8c76/active,нет,2019-10-10 11:14:03,15,0,5,2
Рашил Н.,Акпп 60-41sn AF-17,2000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/akpp-6041sn-af17-64f0388f827c4b7f450ad8e7,2023-08-31 09:51:59,6,https://youla.ru/user/5c83dd27ec98559c491b88dd/active,нет,2019-03-09 18:35:03,1,0,0,0
1 2.,Грязевые шины,600000,https://youla.ru/mahachkala/avto-moto/shiny-diski/griazievyie-shiny-64d35e1e6a1519486b6ad6d3,2023-08-09 12:36:30,56,https://youla.ru/user/59831e11de8854d6a217df12/active,нет,2018-02-08 17:54:36,4,2,5,8
Марат М.,LENSO,2500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/lenso-60d8ff461af3a4214b6851f4,2021-06-28 01:44:22,164,https://youla.ru/user/5a3f466302a558476207b2a2/active,нет,2017-12-24 09:20:27,12,0,5,2
@arslikea ..,Гидроусилитель руля УАЗ,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/gidrousilitiel-rulia-uaz-600831d668e80355bc427362,2021-01-20 16:36:22,495,https://youla.ru/user/5ecfb2d3e28348446e022d58/active,нет,2020-05-28 15:47:15,114,198,5,4
Магомед М.,Крыло для W211,600000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/krylo-dlia-w211-6097b3ee3b32284aba2636a3,2021-05-09 13:05:34,65,https://youla.ru/user/5764538f96ad84148b37feb0/active,нет,2016-12-04 21:18:35,5,6,5,4
М.Ш.М. 🥊.,Кама 217,1450000,https://youla.ru/mahachkala/avto-moto/shiny-diski/kama-217-6486ee3e719c51504479cae3,2023-06-12 13:06:54,47,https://youla.ru/user/57feadded53f3d612cfddec4/active,нет,2016-10-25 20:41:12,16,0,5,2
Мурад П.,Дверь багажника Туарег,700000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-baghazhnika-tuariegh-5fa4449ea4898c1f01033de9,2020-11-05 21:29:50,46,https://youla.ru/user/5a18840f2c593e4114426048/active,нет,2017-11-24 23:41:51,15,9,5,1
Абдула М.,Разбор,500000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/razbor-63f3cee6f181ee63da480233,2023-02-20 22:49:58,80,https://youla.ru/user/58845a03c5c2e6688f08b18c/active,нет,2017-02-16 17:26:17,2,0,5,1
мах м.,Бампер w 222 Мерседес,800000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/bampiera-w-222-61becad61cebb765796f8a51,2021-12-19 09:01:58,49,https://youla.ru/user/5d0ab8a0e7d7ce512e1da7e2/active,нет,2019-06-20 01:35:12,9,0,0,0
Идрис М.,"Колёса на audi, 225/55 r17",2000000,https://youla.ru/mahachkala/avto-moto/shiny-diski/koliosa-na-audi-22555-r17-61595502ce375236082af782,2021-10-03 10:00:18,364,https://youla.ru/user/5970c01762e1c603eb3bb50a/active,нет,2017-07-20 17:37:11,2,6,0,0
Магомед М.,Диски на БМВ X-5,4500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/diski-na-bmw-x5-5e28396fd138b3d73d3ad017,2020-01-22 15:00:47,274,https://youla.ru/user/5764538f96ad84148b37feb0/active,нет,2016-12-04 21:18:35,5,6,5,4
Марат М.,Диски на Киа Рио,1200000,https://youla.ru/mahachkala/avto-moto/shiny-diski/toyo-5dc6689faaab287cbc63477c,2019-11-09 10:19:59,1063,https://youla.ru/user/5a3f466302a558476207b2a2/active,нет,2017-12-24 09:20:27,12,0,5,2
Амир Ф.,Задний редуктор,1400000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/zadnii-rieduktor-60ec8f60bfecb34b56268d03,2021-07-12 21:52:16,319,https://youla.ru/user/5ab8a5260fff81deec7317c8/active,нет,2018-03-26 10:45:42,38,43,0,0
Ilvac J.,ЭБУ Мерседес спринтер 906,900000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/ebu-miersiedies-sprintier-906-62af3582ba57a122c176eadb,2022-06-19 17:41:06,5,https://youla.ru/user/5f59a2bff78f6b01f1629333/active,нет,2020-09-10 06:58:19,7,0,0,0
Багир И.,Рулевое управление,1500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/rulievoie-upravlieniie-63f20b0583f7335e8f601b7b,2023-02-19 14:41:57,14,https://youla.ru/user/58fe48b7b261ff14e450fd35/active,нет,2017-04-24 21:49:52,8,0,5,1
Доступная Р.,Много шин б/у,1000000,https://youla.ru/mahachkala/avto-moto/shiny-diski/mnogho-shin-bu-634e8948137a7f2a0325b48c,2022-10-18 14:08:56,158,https://youla.ru/user/56ff986c6ec8631e287321a8/active,нет,2016-04-02 13:01:16,1,104,5,2
Эльхам М.,Коробка Фольксваген В4,600000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/zadniaia-podiemnaia-dvier-gaz-2217-5a96487ed138b3966c694e0f,2018-02-28 09:13:18,145,https://youla.ru/user/58ed2c62bedcc55c096a7df3/active,нет,2017-04-11 22:20:02,13,0,5,5
Увайс А.,ЗАЗ Сенс на разборе,3000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/zaz-tsielikom-606b134035dd26017c641173,2021-04-05 16:40:16,590,https://youla.ru/user/59b00d71f69576ae5c0229b3/active,нет,2017-12-05 13:20:21,11,2,4.7,6
Магомед М.,Капот на джету 6,850000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/kapot-na-dzhietu-6-6497644c659a2f432b1a71b3,2023-06-25 00:46:52,10,https://youla.ru/user/5abfae52eef141dff41a7af6/active,нет,2018-03-31 18:50:42,12,1,5,1
Марат М.,Японские диски DAD R 18,2500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/iaponskiie-diski-dad-r-18-6106c35e3d83ac68fe58404e,2021-08-01 18:53:02,467,https://youla.ru/user/5a3f466302a558476207b2a2/active,нет,2017-12-24 09:20:27,12,0,5,2
Тимур А.,Фара оригинал,550000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/fara-orighinal-644d28a8bf5db960b52de13c,2023-04-29 17:24:40,125,https://youla.ru/user/5e1523f2cf689a1cd774702e/active,нет,2020-01-08 03:36:02,5,4,0,0
Leon @.,Шины,500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/shiny-64277262b60eae290d2783f3,2023-04-01 02:53:06,256,https://youla.ru/user/5b5dae110fff81a86372a052/active,нет,2018-07-29 15:17:35,2,12,0,0
Расул ..,Дверь передняя правая на прадо 150,1255000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-pieriedniaia-pravaia-na-prado-150-640f1b9a859f464d706077ee,2023-03-13 15:48:26,20,https://youla.ru/user/59e34882074b3e20786414f2/active,нет,2017-10-15 14:37:54,2,19,5,3
Мага М.,Дверь rav4,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-rav4-6048c163bd2dae6bf869e12b,2021-03-10 15:53:55,31,https://youla.ru/user/5be75ffc1bee2ba18733fe7a/active,нет,2018-11-11 01:47:24,1,0,0,0
Марат М.,Диски SAKURA R 16,2500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/diski-sakura-r-16-61a9e4c9b88c8613a12ac1f4,2021-12-03 12:35:05,287,https://youla.ru/user/5a3f466302a558476207b2a2/active,нет,2017-12-24 09:20:27,12,0,5,2
Ilvac J.,ТНВД Мерседес спринтер 906,950000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/tnvd-miersiedies-sprintier-409-62af265da0d82f6379725113,2022-06-19 16:36:29,10,https://youla.ru/user/5f59a2bff78f6b01f1629333/active,нет,2020-09-10 06:58:19,7,0,0,0
Амир Ф.,Задний мост,2500000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/zadnii-most-60b4a3d4470ce42fc169db21,2021-05-31 11:52:36,305,https://youla.ru/user/5ab8a5260fff81deec7317c8/active,нет,2018-03-26 10:45:42,38,43,0,0
мах м.,Богажник калина седан космос,700000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/boghazhnik-kalina-siedan-kosmos-622371c4b722bd6f412b3353,2022-03-05 17:20:52,124,https://youla.ru/user/5d0ab8a0e7d7ce512e1da7e2/active,нет,2019-06-20 01:35:12,9,0,0,0
Юсуп Магомедов,"Диски р14,185,60 на ВАЗ.",1100000,https://youla.ru/novyy_kyahulay/avto-moto/shiny-diski/diski-r1418560-na-vaz-63398ed09844344a5f13bc60,2022-10-02 16:14:56,727,https://youla.ru/user/61df031c27383c18a00a50bd/active,нет,2022-01-28 18:59:03,3,0,0,0
Арсен А.,Колеса летние от Мазды R 16 !,3200000,https://youla.ru/mahachkala/avto-moto/shiny-diski/koliesa-lietniie-ot-mazdy-r-16-63f78d353c2fc50682536ff3,2023-02-23 18:58:45,142,https://youla.ru/user/5901869dc3bdd22c53414c1e/active,нет,2017-04-27 08:50:21,3,2,5,2
Курбан К.,Кондиционер w126,1000000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/konditsionier-w126-6190a0c818c6d55432155942,2021-11-14 08:38:16,61,https://youla.ru/user/5c58b909821a9976de0644c4/active,нет,2019-02-05 01:13:56,4,5,5,2
Ахмед М.,Печка приора комплект,1200000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/piechka-priora-kompliekt-646af9bc3cb74577db76c003,2023-05-22 08:12:28,40,https://youla.ru/user/5e2150e8226e48ad42256b33/active,нет,2020-01-17 09:17:25,2,0,0,0
ТАГИР Ш.,Дросельная заслонка Мерседес m104,500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/drosielnaia-zaslonka-miersiedies-m104-643f888f0fb07605e37cdd15,2023-04-19 09:22:07,37,https://youla.ru/user/58c42c96e931f2354ae0c5a8/active,нет,2017-03-11 20:26:21,10,4,5,3
мах м.,Дверь калина перед левый бу,500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-kalina-pieried-lievyi-bu-627807896375d70fad5e9bd3,2022-05-08 21:10:17,140,https://youla.ru/user/5d0ab8a0e7d7ce512e1da7e2/active,нет,2019-06-20 01:35:12,9,0,0,0
Юсуп Магомедов,"Кованый комплект р 15,хорошими шинами",1750000,https://youla.ru/novyy_kyahulay/avto-moto/shiny-diski/kovanyi-kompliekt-r-15khoroshimi-shinami-6267f1b0601ad4402f293bfc,2022-04-26 16:20:48,378,https://youla.ru/user/61df031c27383c18a00a50bd/active,нет,2022-01-28 18:59:03,3,0,0,0
Эльмира А.,Фары,650000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/fary-6032bce165f83751f9048a93,2021-02-21 23:04:49,62,https://youla.ru/user/5868ca6c0cc3da331087cb80/active,нет,2017-01-01 12:22:52,1,2,0,0
Расул ..,Зимние колеса Pirelli,3500000,https://youla.ru/mahachkala/avto-moto/shiny-diski/zimniie-koliesa-pirelli-63ea2616c7e67819dd2cc87f,2023-02-13 14:59:18,19,https://youla.ru/user/59e34882074b3e20786414f2/active,нет,2017-10-15 14:37:54,2,19,5,3
Юнус Я.,Шины,700000,https://youla.ru/mahachkala/avto-moto/shiny-diski/shiny-6485853c49f8b325c468a0c3,2023-06-11 11:26:36,141,https://youla.ru/user/6016e6a968297945a80c7883/active,нет,2021-01-31 20:20:41,1,0,0,0
Ахмед М.,Гур Приора комплект,1200000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/gur-priora-kompliekt-646af914fa3f8c6319005a23,2023-05-22 08:09:40,63,https://youla.ru/user/5e2150e8226e48ad42256b33/active,нет,2020-01-17 09:17:25,2,0,0,0
Махач К.,Катушка зажигания автобус Нефаз метан,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/katushka-zazhighaniia-avtobus-niefaz-mietan-6533c4d1daa173f14604ee94,2023-10-21 15:32:17,4,https://youla.ru/user/650ee1dcfe55f76e5d02f50a/active,нет,2023-10-21 15:09:16,6,0,0,0
Махач К.,Дозатор автобус Нефаз метан,700000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dozator-avtobus-niefaz-mietan-6533c6c949f15cdf280a50ec,2023-10-21 15:40:41,4,https://youla.ru/user/650ee1dcfe55f76e5d02f50a/active,нет,2023-10-21 15:09:16,6,0,0,0
Махач К.,Блок управления Нефаз метан задний,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/blok-upravlieniia-niefaz-mietan-zadnii-6533c113b884e1a2c60d7f14,2023-10-21 15:16:19,4,https://youla.ru/user/650ee1dcfe55f76e5d02f50a/active,нет,2023-10-21 15:09:16,6,0,0,0
Али М.,Автозапчасти бмв х6 оригинал б/у,550000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/avtozapchasti-bmv-kh6-orighinal-bu-64e371c40b0205755c0cb200,2023-08-21 17:16:36,27,https://youla.ru/user/5d9ee84bdbdf0fd3023f8c76/active,нет,2019-10-10 11:14:03,15,0,5,2
мах м.,Богажник калина седан космос,700000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/boghazhnik-kalina-siedan-kosmos-622371c4b722bd6f412b3353,2022-03-05 17:20:52,124,https://youla.ru/user/5d0ab8a0e7d7ce512e1da7e2/active,нет,2019-06-20 01:35:12,9,0,0,0
Расул ..,Дверь передняя правая на прадо 150,1255000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-pieriedniaia-pravaia-na-prado-150-640f1b9a859f464d706077ee,2023-03-13 15:48:26,20,https://youla.ru/user/59e34882074b3e20786414f2/active,нет,2017-10-15 14:37:54,2,19,5,3
Ilvac J.,ЭБУ Мерседес спринтер 906,900000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/ebu-miersiedies-sprintier-906-62af3582ba57a122c176eadb,2022-06-19 17:41:06,5,https://youla.ru/user/5f59a2bff78f6b01f1629333/active,нет,2020-09-10 06:58:19,7,0,0,0
Мага М.,Дверь rav4,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-rav4-6048c163bd2dae6bf869e12b,2021-03-10 15:53:55,31,https://youla.ru/user/5be75ffc1bee2ba18733fe7a/active,нет,2018-11-11 01:47:24,1,0,0,0
Ахмед М.,Печка приора комплект,1200000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/piechka-priora-kompliekt-646af9bc3cb74577db76c003,2023-05-22 08:12:28,40,https://youla.ru/user/5e2150e8226e48ad42256b33/active,нет,2020-01-17 09:17:25,2,0,0,0
Багир И.,Рулевое управление,1500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/rulievoie-upravlieniie-63f20b0583f7335e8f601b7b,2023-02-19 14:41:57,14,https://youla.ru/user/58fe48b7b261ff14e450fd35/active,нет,2017-04-24 21:49:52,8,0,5,1
Магомед М.,Капот на джету 6,850000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/kapot-na-dzhietu-6-6497644c659a2f432b1a71b3,2023-06-25 00:46:52,10,https://youla.ru/user/5abfae52eef141dff41a7af6/active,нет,2018-03-31 18:50:42,12,1,5,1
мах м.,Бампер w 222 Мерседес,800000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/bampiera-w-222-61becad61cebb765796f8a51,2021-12-19 09:01:58,49,https://youla.ru/user/5d0ab8a0e7d7ce512e1da7e2/active,нет,2019-06-20 01:35:12,9,0,0,0
Амир Ф.,Задний редуктор,1400000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/zadnii-rieduktor-60ec8f60bfecb34b56268d03,2021-07-12 21:52:16,319,https://youla.ru/user/5ab8a5260fff81deec7317c8/active,нет,2018-03-26 10:45:42,38,43,0,0
Магомед М.,Крыло для W211,600000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/krylo-dlia-w211-6097b3ee3b32284aba2636a3,2021-05-09 13:05:34,65,https://youla.ru/user/5764538f96ad84148b37feb0/active,нет,2016-12-04 21:18:35,5,6,5,4
ТАГИР Ш.,Дросельная заслонка Мерседес m104,500000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/drosielnaia-zaslonka-miersiedies-m104-643f888f0fb07605e37cdd15,2023-04-19 09:22:07,37,https://youla.ru/user/58c42c96e931f2354ae0c5a8/active,нет,2017-03-11 20:26:21,10,4,5,3
Эльхам М.,Коробка Фольксваген В4,600000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/zadniaia-podiemnaia-dvier-gaz-2217-5a96487ed138b3966c694e0f,2018-02-28 09:13:18,145,https://youla.ru/user/58ed2c62bedcc55c096a7df3/active,нет,2017-04-11 22:20:02,13,0,5,5
Ахмед М.,Гур Приора комплект,1200000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/gur-priora-kompliekt-646af914fa3f8c6319005a23,2023-05-22 08:09:40,63,https://youla.ru/user/5e2150e8226e48ad42256b33/active,нет,2020-01-17 09:17:25,2,0,0,0
Эльмира А.,Фары,650000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/fary-6032bce165f83751f9048a93,2021-02-21 23:04:49,62,https://youla.ru/user/5868ca6c0cc3da331087cb80/active,нет,2017-01-01 12:22:52,1,2,0,0
Курбан К.,Кондиционер w126,1000000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/konditsionier-w126-6190a0c818c6d55432155942,2021-11-14 08:38:16,61,https://youla.ru/user/5c58b909821a9976de0644c4/active,нет,2019-02-05 01:13:56,4,5,5,2
@arslikea ..,Гидроусилитель руля УАЗ,1000000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/gidrousilitiel-rulia-uaz-600831d668e80355bc427362,2021-01-20 16:36:22,495,https://youla.ru/user/5ecfb2d3e28348446e022d58/active,нет,2020-05-28 15:47:15,114,198,5,4
Мурад П.,Дверь багажника Туарег,700000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/dvier-baghazhnika-tuariegh-5fa4449ea4898c1f01033de9,2020-11-05 21:29:50,46,https://youla.ru/user/5a18840f2c593e4114426048/active,нет,2017-11-24 23:41:51,15,9,5,1
Ilvac J.,ТНВД Мерседес спринтер 906,950000,https://youla.ru/mahachkala/avto-moto/avtozapchasti/tnvd-miersiedies-sprintier-409-62af265da0d82f6379725113,2022-06-19 16:36:29,10,https://youla.ru/user/5f59a2bff78f6b01f1629333/active,нет,2020-09-10 06:58:19,7,0,0,0
Тимур А.,Фара оригинал,550000,https://youla.ru/novyy_kyahulay/avto-moto/avtozapchasti/fara-orighinal-644d28a8bf5db960b52de13c,2023-04-29 17:24:40,125,https://youla.ru/user/5e1523f2cf689a1cd774702e/active,нет,2020-01-08 03:36:02,5,4,0,0
